,full_name,cyclist_id,url,team_pcs_id
5,AGIRRE Jon,6,https://www.strava.com/athletes/13087574,7807
12,ALONSO Mikel,13,https://www.strava.com/athletes/4570840,4831
22,ARAIZ Sergio,23,https://www.strava.com/athletes/3243807,7807
51,BALLARIN Iker,52,https://www.strava.com/athletes/12857719,4831
72,BEADLE Hamish,73,https://www.strava.com/athletes/2350641,1430
73,BEAR Ido,74,https://www.strava.com/athletes/1323314,
91,BERTHET Clément,92,https://www.strava.com/athletes/7186660,4014
192,CLANCY Stephen,193,https://www.strava.com/pros/127134,1430
220,DAUGE Lucas,221,https://www.strava.com/athletes/8597943,1430
231,DE KEIJZER Gerd,232,https://www.strava.com/athletes/1450487,1430
241,DE ROSSI Lucas,242,https://www.strava.com/pros/1316021,4014
248,DEBESAY Yakob,249,https://www.strava.com/athletes/50938833,"4014,5638"
257,DELETTRE Alexandre,258,https://www.strava.com/athletes/9367126,4014
308,FERNÁNDEZ Delio,309,https://www.strava.com/pros/4106785,"4014,1495,1270,1800"
335,GARCÍA PIERNA Carlos,336,https://www.strava.com/athletes/6231596,7807
339,GARCÍA PIERNA Raúl,340,https://www.strava.com/athletes/13042964,7807
408,HENTTALA Joonas,409,https://www.strava.com/athletes/1942112,1430
438,IBARGUREN Oier,439,https://www.strava.com/athletes/2969663,
442,IRIZAR Julen,443,https://www.strava.com/athletes/3849758,"4831,2736"
443,IRVINE Declan,444,https://www.strava.com/athletes/12662062,1430
449,JAIME Álex,450,https://www.strava.com/athletes/14180030,7807
461,JUARISTI Txomin,462,https://www.strava.com/athletes/1389461,4831
498,KUSZTOR Péter,499,https://www.strava.com/athletes/6136669,"1123,1078,1430,1093,2230"
537,LOWNDES Jason,538,https://www.strava.com/athletes/2009928,
538,LOZANO David,539,https://www.strava.com/athletes/101212,1430
559,MARQUEZ Marti,560,https://www.strava.com/pros/1484637,7807
601,MORENO Ivan,602,https://www.strava.com/athletes/5366934,7807
613,MUNDAY Samuel,614,https://www.strava.com/athletes/407914,1430
638,OKA Atsushi,639,https://www.strava.com/athletes/39724316,"4014,1101"
662,PARRA José Félix,663,https://www.strava.com/athletes/8552819,7807
676,PERON Andrea,677,https://www.strava.com/athletes/15424319,1430
693,PLANET Charles,694,https://www.strava.com/athletes/7197886,"2417,1430"
697,POLI Umberto,698,https://www.strava.com/athletes/14491435,1430
725,RICCITELLO Matthew,726,https://www.strava.com/athletes/240775,
737,ROBERGE Adam,738,https://www.strava.com/pros/9830847,
758,RUIZ Ibon,759,https://www.strava.com/athletes/13717583,7807
767,SAIDOV Ulugbek,768,https://www.strava.com/athletes/14822906,"1430,2417"
808,ŠIŠKEVICIUS Evaldas,809,https://www.strava.com/pros/7344078,"1351,4014"
820,SOTO Antonio Jesus,821,https://www.strava.com/athletes/4076156,4831
904,VAN DER TUUK Danny,905,https://www.strava.com/athletes/9069073,"7807,1268"
995,ZHYHUNOU Dzmitry,996,https://www.strava.com/athletes/10810067,"4831,2580"
1004,HUMM Daniel,1005,https://www.strava.com/athletes/10411959,7606
1006,KUNZ Dominic,1007,https://www.strava.com/athletes/3594455,7606
1010,PARPAN Dominik,1011,https://www.strava.com/athletes/28719377,7606
1012,SCHMID Diego,1013,https://www.strava.com/athletes/15403267,7606
1014,STÖCKLI Jan,1015,https://www.strava.com/athletes/19920819,7606
1015,VORRIAS Ioannis,1016,https://www.strava.com/athletes/886713,"7606,1438,5681"
1020,ENGER Sondre Holst,1093,https://www.strava.com/athletes/4848740,
1025,WILLIAMS Tyler,1098,https://www.strava.com/pros/174573,
1027,OVETT Freddy,1100,https://www.strava.com/pros/9503563,
1028,LAHAV Omer,1101,https://www.strava.com/athletes/14361760,
1029,ARRIETA Igor,1102,https://www.strava.com/athletes/20793265,
1030,BARONCINI Filippo,1103,https://www.strava.com/athletes/10383106,
1032,BONNET Thomas,1105,https://www.strava.com/athletes/4097622,
1033,COBO Iván,1106,https://www.strava.com/athletes/8585917,
1035,DAUPHIN Florian,1108,https://www.strava.com/athletes/7379248,
1038,GROß Felix,1111,https://www.strava.com/pros/10573633,
1040,HESSMANN Michel,1113,https://www.strava.com/athletes/6025342,
1042,JEANNIERE Emilien,1115,https://www.strava.com/athletes/7432267,
1045,JOUSSEAUME Alan,1118,https://www.strava.com/athletes/16727452,
1046,LAGRÉE Adrien,1119,https://www.strava.com/athletes/37812560,
1047,LAPEIRA Paul,1120,https://www.strava.com/athletes/12558355,
1048,LAURANCE Axel,1121,https://www.strava.com/athletes/14553572,
1049,LE BERRE Mathis,1122,https://www.strava.com/athletes/11592736,
1050,MULUBRHAN Henok,1123,https://www.strava.com/athletes/63258072,
1051,PARET-PEINTRE Valentin,1124,https://www.strava.com/athletes/20161082,
1052,PIETERSE Puck,1125,https://www.strava.com/athletes/13755668,
1053,RETAILLEAU Valentin,1126,https://www.strava.com/athletes/8203181,
1057,HOLLYMAN Mason,1130,https://www.strava.com/pros/12572856,
1061,PICKRELL Riley,1134,https://www.strava.com/athletes/8424173,
1062,GOLDSTEIN Edo,1135,https://www.strava.com/athletes/2739223?hl=fr-FR,
1063,PLAMONDON Robin,1136,https://www.strava.com/athletes/11173432,
